Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address
"Tokha House(Residential) : House For Sale In Tokha, Kathmandu","['Grande Tole', ' Tokha', ' Kathmandu']","NPR. 3,50,00,000 Onwards",0,0,3.0,0,East,,230,6-1 Aana,13 Feet,N/A Aana,3 weeks ago,[], Kathmandu, Tokha
"House For Sale In Tikathali, Lalitpur","['Mahalaxmi-05', ' Tikathali', ' Tikathali', ' Lalitpur']","NPR. 1,70,00,000",2,1,1.0,1,North,,164,0-3-1 Aana,13 Feet / Gravelled,785 Sq. Feet,4 weeks ago,[], Lalitpur, Tikathali
"COmmercial Property At Ringroad : House For Sale In Ekantakuna, Lalitpur","['Kusunti', ' Ekantakuna', ' Lalitpur']","NPR. 3,20,00,000 Per Ropani",0,3,,2,North,,194,0-3-3-2 Aana,94 Feet / Blacktopped,0-3-3-2 Aana,1 month ago,[], Lalitpur, Ekantakuna
"House For Sale In Tarkeshwor, Kathmandu","['Tarkeshor-5', ' Aryaltar', ' New Rangasala Basti', ' Goldhunga', ' Tarkeshwor', ' Kathmandu']","NPR. 1,70,00,000 Onwards",5,2,2.0,1,East,2079.0,180,3 Aana,10 Feet / Gravelled,3 Aana,1 month ago,"['Parking', 'Wifi', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Water Well', 'Water Tank', 'Internet']", Kathmandu, Tarkeshwor
"Bungalow For Sale In Gahanapokhari : House For Sale In Naxal, Kathmandu","['Gahana Pokhari', ' Naxal', ' Kathmandu']","NPR. 8,35,00,000 Onwards",4,4,3.0,0,South East,,259,9-3-1 Aana,13 Feet,2800 Sq. Feet,1 month ago,"['Lawn', 'Parking', 'Garden', 'Water Supply', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'CCTV', 'Wifi']", Kathmandu, Naxal
"House Sale In Chandragiri 7 : House For Sale In Chandragiri, Kathmandu","['itakhel', ' Chandragiri', ' Kathmandu']","NPR. 2,20,00,000",6,3,3.0,2,East,2017.0,165,5 Aana,10 Feet / Paved,N/A Aana,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Wifi', 'Water Well', 'Internet']", Kathmandu, Chandragiri
"22 Aana Amazing Bungalow For SALE At Bhaisepati, Lalitpur : House For Sale In Bhaisepati, Lalitpur","['Bhaisepati', ' Bhaisepati', ' Lalitpur']","NPR. 18,70,00,000",0,0,,0,East,,181,22 Aana,0 Feet,N/A Aana,1 month ago,"['Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Deck', 'Balcony', 'Water Tank', 'Water Well']", Lalitpur, Bhaisepati
"13 Aana Amazing Bungalow For Sale , Bhaisepati : House For Sale In Bhaisepati, Lalitpur","['Bhaisepati', ' Bhaisepati', ' Lalitpur']","NPR. 13,50,00,000",0,0,,0,South,,120,13 Aana,16 Feet / Paved,N/A Aana,1 month ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Balcony', 'Water Tank', 'Water Well']", Lalitpur, Bhaisepati
"House For Sale At Koteshwor. : House For Sale In Koteshwor, Kathmandu","['Koteshwor 32', ' Koteshwor', ' Kathmandu']","NPR. 2,70,00,000 Onwards",0,4,4.0,4,East,,134,4 Aana,12 Feet,1369 Sq. Feet,1 month ago,[], Kathmandu, Koteshwor
"House On Sale In Imadol : House For Sale In Imadol, Lalitpur","['Near downtown', ' Imadol', ' Lalitpur']","NPR. 2,80,00,000 Onwards",7,3,3.0,1,North East,2022.0,190,3-2-2 Aana,18 Feet / Gravelled,2-3 Aana,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water', 'Maintenance']", Lalitpur, Imadol
"House On Sale In Tikathali : House For Sale In Tikathali, Lalitpur","['Tikathali', ' Tikathali', ' Lalitpur']","NPR. 3,50,00,000 Onwards",6,5,3.0,1,North East,,160,4 Aana,10 Feet,3 Aana,1 month ago,"['Parking', 'Balcony', 'Water Supply', 'Fencing', 'Modular Kitchen', 'Store Room', 'Water Tank']", Lalitpur, Tikathali
"House For Sale In Mahalaxmi Nagarpalika, Lalitpur","['Changathali-7 Mahalaxmi Nagarpalika', ' Mahalaxmi Nagarpalika', ' Lalitpur']","NPR. 1,80,00,000",4,3,3.0,1,North,2073.0,133,3 Aana,13 Feet / Gravelled,990 Sq. Feet,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Modular Kitchen', 'Wifi', 'Store Room']", Lalitpur, Mahalaxmi Nagarpalika
