City,Address,Area(In Sq.Feet),Price(Float),Bedroom,Bathroom,Road,Face,Parking,Floors
 Kathmandu, Tokha,2139.0625,35000000.0,0,0,13.0,East,0,3.0
 Lalitpur, Tikathali,1112.3125,17000000.0,2,1,13.0,North,1,1.0
 Lalitpur, Ekantakuna,1326.21875,7750000.0,0,3,94.0,North,2,
 Kathmandu, Tarkeshwor,1026.75,17000000.0,5,2,10.0,East,1,2.0
 Kathmandu, Naxal,3336.9375,83500000.0,4,4,13.0,South East,0,3.0
 Kathmandu, Chandragiri,1711.25,22000000.0,6,3,10.0,East,2,3.0
 Lalitpur, Bhaisepati,7529.5,187000000.0,0,0,0.0,East,0,
 Lalitpur, Bhaisepati,4449.25,135000000.0,0,0,16.0,South,0,
 Kathmandu, Koteshwor,1369.0,27000000.0,0,4,12.0,East,4,4.0
 Lalitpur, Imadol,1197.875,28000000.0,7,3,18.0,North East,1,3.0
 Lalitpur, Tikathali,1369.0,35000000.0,6,5,10.0,North East,1,3.0
 Lalitpur, Mahalaxmi Nagarpalika,1026.75,18000000.0,4,3,13.0,North,1,3.0
 Kathmandu, Maharajgunj,3422.5,110000000.0,0,0,12.0,South East,2,2.5
 Kathmandu, Thamel,1369.0,26000000.0,6,5,0.0,East,0,3.0
 Kathmandu, Kalanki,1369.0,33500000.0,8,5,8.0,East,0,4.0
 Lalitpur, Nakkhu,1454.5625,36000000.0,4,5,13.0,South West,2,2.0
 Kathmandu, Ranibari,7101.6875,22000000.0,9,4,8.0,South East,0,3.0
 Lalitpur, Imadol,1112.3125,255.0,4,4,13.0,North East,0,3.0
 Lalitpur, Imadol,1197.875,285.0,4,4,13.0,North West,4,3.0
 Kathmandu, Bafal,4107.0,75000000.0,10,3,13.0,West,2,3.0
 Lalitpur, Kupondole,2053.5,62000000.0,6,3,13.0,South,0,3.0
 Lalitpur, Bhaisepati,1540.125,37500000.0,3,4,18.0,South,2,3.0
 Lalitpur, Hattiban,1026.75,20000000.0,3,2,14.0,South East,1,2.0
 Kathmandu, Sinamangal,2053.5,55100000.0,7,5,13.0,East,2,3.0
 Kathmandu, Gurujudhara,2738.0,50000000.0,7,6,13.0,South East,2,4.0
 Lalitpur, Imadol,1026.75,12900000.0,2,2,14.0,South,1,2.0
 Kathmandu, Gongabu,128.8,35000000.0,4,3,12.0,South,1,3.0
 Kathmandu, Budhanilkantha,1369.0,34000000.0,5,3,16.0,North East,1,2.0
 Kathmandu, Tokha,2909.125,70000000.0,5,7,18.0,North West,3,3.0
 Lalitpur, Godawari,919.796875,9500000.0,0,0,20.0,East,0,
 Kathmandu, Khusibu,1112.3125,34000000.0,5,3,0.0,East,1,3.0
 Lalitpur, Imadol,1197.875,26500000.0,4,3,13.0,East,1,3.0
 Bhaktapur, Sipadol,1540.125,37500000.0,7,4,20.0,North,2,3.0
 Kathmandu, Kapan,1711.25,42500000.0,7,0,18.0,East,2,3.0
 Kathmandu, Naikap,2738.0,44000000.0,3,3,20.0,East,2,3.0
 Lalitpur, Tikathali,1283.4375,37500000.0,5,4,13.0,South East,2,2.5
 Lalitpur, Imadol,1240.65625,31500000.0,6,4,13.0,East,2,2.5
 Kathmandu, Sitapaila,3657.796875,73100000.0,4,4,18.0,South West,2,2.0
 Lalitpur, Mahalaxmi Nagarpalika,1197.875,26000000.0,6,4,13.0,South,1,2.5
