Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address,Area(Sq.Feet),Area(In Sq.Feet),Price(Float)
"Tokha House(Residential) : House For Sale In Tokha, Kathmandu","['Grande Tole', ' Tokha', ' Kathmandu']",35000000,0,0,3.0,0,East,,230,6-1 Aana,13.0,N/A Aana,3 weeks ago,[], Kathmandu, Tokha,2139.0625,2139.0625,35000000.0
"House For Sale In Tikathali, Lalitpur","['Mahalaxmi-05', ' Tikathali', ' Tikathali', ' Lalitpur']",17000000,2,1,1.0,1,North,,164,0-3-1 Aana,13.0,785 Sq. Feet,4 weeks ago,[], Lalitpur, Tikathali,1112.3125,1112.3125,17000000.0
"COmmercial Property At Ringroad : House For Sale In Ekantakuna, Lalitpur","['Kusunti', ' Ekantakuna', ' Lalitpur']",32000000 Per Ropani,0,3,,2,North,,194,0-3-3-2 Aana,94.0,0-3-3-2 Aana,1 month ago,[], Lalitpur, Ekantakuna,1326.21875,1326.21875,7750000.0
"House For Sale In Tarkeshwor, Kathmandu","['Tarkeshor-5', ' Aryaltar', ' New Rangasala Basti', ' Goldhunga', ' Tarkeshwor', ' Kathmandu']",17000000,5,2,2.0,1,East,2079.0,180,3 Aana,10.0,3 Aana,1 month ago,"['Parking', 'Wifi', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Water Well', 'Water Tank', 'Internet']", Kathmandu, Tarkeshwor,1026.75,1026.75,17000000.0
"Bungalow For Sale In Gahanapokhari : House For Sale In Naxal, Kathmandu","['Gahana Pokhari', ' Naxal', ' Kathmandu']",83500000,4,4,3.0,0,South East,,259,9-3-1 Aana,13.0,2800 Sq. Feet,1 month ago,"['Lawn', 'Parking', 'Garden', 'Water Supply', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'CCTV', 'Wifi']", Kathmandu, Naxal,3336.9375,3336.9375,83500000.0
"House Sale In Chandragiri 7 : House For Sale In Chandragiri, Kathmandu","['itakhel', ' Chandragiri', ' Kathmandu']",22000000,6,3,3.0,2,East,2017.0,165,5 Aana,10.0,N/A Aana,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Wifi', 'Water Well', 'Internet']", Kathmandu, Chandragiri,1711.25,1711.25,22000000.0
"22 Aana Amazing Bungalow For SALE At Bhaisepati, Lalitpur : House For Sale In Bhaisepati, Lalitpur","['Bhaisepati', ' Bhaisepati', ' Lalitpur']",187000000,0,0,,0,East,,181,22 Aana,0.0,N/A Aana,1 month ago,"['Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Deck', 'Balcony', 'Water Tank', 'Water Well']", Lalitpur, Bhaisepati,7529.5,7529.5,187000000.0
"13 Aana Amazing Bungalow For Sale , Bhaisepati : House For Sale In Bhaisepati, Lalitpur","['Bhaisepati', ' Bhaisepati', ' Lalitpur']",135000000,0,0,,0,South,,120,13 Aana,16.0,N/A Aana,1 month ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Balcony', 'Water Tank', 'Water Well']", Lalitpur, Bhaisepati,4449.25,4449.25,135000000.0
"House For Sale At Koteshwor. : House For Sale In Koteshwor, Kathmandu","['Koteshwor 32', ' Koteshwor', ' Kathmandu']",27000000,0,4,4.0,4,East,,134,4 Aana,12.0,1369 Sq. Feet,1 month ago,[], Kathmandu, Koteshwor,1369.0,1369.0,27000000.0
"House On Sale In Imadol : House For Sale In Imadol, Lalitpur","['Near downtown', ' Imadol', ' Lalitpur']",28000000,7,3,3.0,1,North East,2022.0,190,3-2-2 Aana,18.0,2-3 Aana,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water', 'Maintenance']", Lalitpur, Imadol,1197.875,1197.875,28000000.0
"House On Sale In Tikathali : House For Sale In Tikathali, Lalitpur","['Tikathali', ' Tikathali', ' Lalitpur']",35000000,6,5,3.0,1,North East,,160,4 Aana,10.0,3 Aana,1 month ago,"['Parking', 'Balcony', 'Water Supply', 'Fencing', 'Modular Kitchen', 'Store Room', 'Water Tank']", Lalitpur, Tikathali,1369.0,1369.0,35000000.0
"House For Sale In Mahalaxmi Nagarpalika, Lalitpur","['Changathali-7 Mahalaxmi Nagarpalika', ' Mahalaxmi Nagarpalika', ' Lalitpur']",18000000,4,3,3.0,1,North,2073.0,133,3 Aana,13.0,990 Sq. Feet,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Modular Kitchen', 'Wifi', 'Store Room']", Lalitpur, Mahalaxmi Nagarpalika,1026.75,1026.75,18000000.0
"Bungalow : House For Sale In Maharajgunj, Kathmandu","['Near Kanti Children Hospital', ' Maharajgunj', ' Kathmandu']",110000000,0,0,2.5,2,South East,,691,0-10-0-0 Aana,12.0,N/A Aana,1 month ago,[], Kathmandu, Maharajgunj,3422.5,3422.5,110000000.0
"House For Sale In Thamel, Kathmandu","['Golkhupakha', ' Thamel', ' Thamel', ' Kathmandu']",26000000,6,5,3.0,0,East,2073.0,222,4 Aana,0.0,3.2 Aana,1 month ago,"['Lawn', 'Balcony', 'Water Supply', 'Fencing']", Kathmandu, Thamel,1369.0,1369.0,26000000.0
"4 Storey Residential Flat System House : House For Sale In Kalanki, Kathmandu","['Kalanki Malpot', ' Kritipur-1', ' Kalanki', ' Kathmandu']",33500000,8,5,4.0,0,East,2065.0,182,0-4-0-0 Aana,8.0,3200 Sq. Feet,2 months ago,"['Balcony', 'Deck', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Kalanki,1369.0,1369.0,33500000.0
"House For Sale Nakhu : House For Sale In Nakkhu, Lalitpur","['Aadinath marga', ' Nakkhu', ' Lalitpur']",36000000,4,5,2.0,2,South West,2076.0,273,0-4-1-0 Aana,13.0,856 Sq. Feet,2 months ago,"['Drainage', 'Parking', 'Balcony', 'Garden', 'Solar Water', 'Modular Kitchen', 'Water Tank', 'Water Well', 'Store Room']", Lalitpur, Nakkhu,1454.5625,1454.5625,36000000.0
"House On Sale In Ranibari : House For Sale In Ranibari, Kathmandu","['Ranibari', ' Ranibari', ' Kathmandu']",22000000,9,4,3.0,0,South East,2050.0,294,2.75 Aana,8.0,2.5 Aana,2 months ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Water Tank', 'Water Well']", Kathmandu, Ranibari,7101.6875,7101.6875,22000000.0
"House On Sale Sital Hight Imadol : House For Sale In Imadol, Lalitpur","['Sital hight', ' Imadol', ' Lalitpur']",255,4,4,3.0,0,North East,,224,3-1-0 Aana,13.0,2-3 Aana,2 months ago,"['Parking', 'Store Room']", Lalitpur, Imadol,1112.3125,1112.3125,255.0
"House On Sell In Imadol : House For Sale In Imadol, Lalitpur","['Imadol', ' Imadol', ' Lalitpur']",285,4,4,3.0,4,North West,,277,3-2-0 Aana,13.0,1026 Sq. Feet,2 months ago,"['Parking', 'Modular Kitchen', 'Water Tank']", Lalitpur, Imadol,1197.875,1197.875,285.0
"House For Sale : House For Sale In Bafal, Kathmandu","['Ringroad Bafal', ' Bafal', ' Kathmandu']",75000000,10,3,3.0,2,West,2066.0,254,0-12-0-0 Aana,13.0,3100 Sq. Feet,2 months ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Bafal,4107.0,4107.0,75000000.0
"RESIDENTIAL PLUS COMMERCIAL : House For Sale In Kupondole, Lalitpur","['Kupondole', ' Kupondole', ' Lalitpur']",62000000,6,3,3.0,0,South,,206,0-6-0-0 Aana,13.0,N/A Sq. Feet,2 months ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Kupondole,2053.5,2053.5,62000000.0
"House For Sale Bhaisepati : House For Sale In Bhaisepati, Lalitpur","['189/106', ' Bhaisepati', ' Lalitpur']",37500000,3,4,3.0,2,South,2019.0,296,4-2 Aana,18.0,N/A Aana,3 months ago,"['Drainage', 'Garage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'Store Room', 'Water Tank', 'Solar Water']", Lalitpur, Bhaisepati,1540.125,1540.125,37500000.0
"House For Sale At Hattiban Lalitpur : House For Sale In Hattiban, Lalitpur","['Samiti bhawan', ' Hattiban', ' Lalitpur']",20000000,3,2,2.0,1,South East,2071.0,234,3 Aana,14.0,900 Sq. Feet,3 months ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Drainage', 'Water Well', 'Water Tank']", Lalitpur, Hattiban,1026.75,1026.75,20000000.0
"Residential House For Sale : House For Sale In Sinamangal, Kathmandu","['Guna Colony', ' Sinamangal', ' Sinamangal', ' Kathmandu']",55100000,7,5,3.0,2,East,2064.0,15.2K,0-6-0-0 Aana,13.0,2800 Aana,3 months ago,[], Kathmandu, Sinamangal,2053.5,2053.5,55100000.0
