price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 40,000 (Negotiable)
(Forty thousand )",0-4-0-0,1200 SQUARE FEET,,3,1,1,2,2,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10308,5 MONTHS AGO,93,NOT FURNISHED,,
"Rs. 32,00,000 (Negotiable)
(32 lakh per aana)",0-4-0-0,,,,,,,,NORTH,LAND (RESIDENTIAL),NONE,GB05398,5 YEARS AGO,6556,,,
"Rs. 7,00,000 (Negotiable)",999 SQUARE FEET,,,,,,,,NONE,OFFICE SPACE (COMMERCIAL),PILLAR SYSTEM,GB10444,4 MONTHS AGO,29,FULLY FURNISHED,,
"Rs. 2,30,00,000 (Negotiable)
(Two crore thirty lakh )",0-4-2-2,2100 SQUARE FEET,,6,2,2,3,2.5,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07393,3 YEARS AGO,8917,NOT FURNISHED,,
"Rs. 28,00,000 (Negotiable)",0-4-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10605,1 MONTH AGO,49,NOT FURNISHED,,
"Rs. 1,25,000 / month (Negotiable)
(One lakh twenty five thousand )",0-10-0-0,0-4-0-0,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10313,5 MONTHS AGO,54,NOT FURNISHED,,
"Rs. 3,40,00,000 (Negotiable)
(Three crore forty lakh )",0-3-2-0,0-3-2-0,,6,2,2,,3,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10390,4 MONTHS AGO,71,FULLY FURNISHED,,
"Rs. 5,35,00,000 (Negotiable)
(Five crore thirty five lakh )",0-7-1-0,0-7-1-0,,7,3,2,,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09986,8 MONTHS AGO,127,NOT FURNISHED,,
"Rs. 7,00,00,000 (Negotiable)
(7 crore)",0-8-0-0,0-4-0-0,,6,2,2,,3,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04468,5 YEARS AGO,1766,FULLY FURNISHED,,
"Rs. 6,50,000 (Negotiable)
(Six lakh fifty thousand per month)",3-0-0-0,,,,,,,,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB09324,1 YEAR AGO,1226,NOT FURNISHED,,
"Rs. 37,00,000 (Negotiable)
(37 lakh per aana)",0-11-0-0,0-2-0-0,,,,,,,NORTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB05416,5 YEARS AGO,6384,,,
"Rs. 23,50,000 (Negotiable)
(Twenty three lakh fifty thousand )",9-0-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09393,5 DAYS AGO,12021,,,
