,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
0,"House For Sale In Naikap, Kathmandu","Naya Naikap, Naikap, Kathmandu","NPR. 1,70,00,000 onward",5,5,2,4,BN8399,East,N/A,1.8K,0-2-3-0 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Balcony', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']"
1,"Beautiful House : House For Sale In Sanobharyang, Kathmandu","Nearby Ring Road, Sanobharyang, Kathmandu","NPR. 2,30,00,000",6,4,2.5,4,BN8398,West,N/A,2.1K,0-3-2-0 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']"
2,"Beautiful House : House For Sale In Baneshwor, Kathmandu","Milan Chwok, Baneshwor, Kathmandu","NPR. 4,70,00,000",12,0,3,0,BN8396,North,N/A,2K,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,2 years ago,"['Water Tank', 'Water Well', 'Parking']"
3,"Beautiful House : House For Sale In Shantinagar, Kathmandu","Thulo Khariboat, Shantinagar, Kathmandu","NPR. 3,75,00,000",11,0,3.5,2,BN8395,West,2069,1.2K,0-4-0-0 Aana,20 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Water Supply', 'Parking', 'Store Room']"
4,"House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu","NPR. 6,99,99,999 Onwards",5,5,3,4,BN8392,East,2070,1.1K,13 Aana,15 Feet / Blacktopped,3000 Sq. Feet,2 years ago,"['Drainage', 'Garage', 'Balcony', 'Parking', 'Water Supply', 'Garden', 'Modular Kitchen', 'Store Room', 'Water Well', 'Water Tank', 'Washing Machine']"
5,"House For Sale In Biratnagar, Morang","Sountha urlabari road, Biratnagar, Morang","NPR. 75,00,000 Onwards",3,1,N/A,0,BN8388,South,2076,1.3K,2 Kattha,0 Feet / Gravelled,0-2-0 Kattha,2 years ago,"['Modular Kitchen', 'TV Cable', 'Wifi', 'Water Tank', 'Electricity Backup', 'Internet']"
6,"House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu","NPR. 4,20,00,000 Onwards",6,6,3,2,BN8384,East,2076,3.1K,5.25 Aana,15 Feet / Blacktopped,2700 Sq. Feet,2 years ago,"['Garage', 'Water Supply', 'Air Condition', 'Parking', 'Water Well', 'Water Tank', 'Modular Kitchen']"
7,"Beautiful House : House For Sale In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu","NPR. 2,45,00,000",6,3,N/A,3,BN8382,South West,N/A,1.9K,0-4-0-0 Aana,13 Feet / Paved,N/A Aana,2 years ago,"['Lawn', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Maintenance', 'Parking']"
8,"House For Sale : House For Sale In Bohoratar, Kathmandu","Bohoratar, Bohoratar, Kathmandu","NPR. 1,65,00,000",5,3,2.5,0,BN8381,North,2069,938,0-3-0-0 Aana,22 Feet / Blacktopped,N/A Aana,2 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Maintenance', 'Parking']"
9,"Beautiful House : House For Sale In Satungal, Kathmandu","Satungal, Satungal, Kathmandu","NPR. 1,80,00,000",5,4,2.5,3,BN8380,East,N/A,1.5K,0-3-2-2 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Maintenance', 'Parking', 'Store Room']"
10,"Beautiful House : House For Sale In Baniyatar, Kathmandu","Gongabu Ring Road, Baniyatar, Kathmandu","NPR. 1,90,00,000",4,3,2.5,3,BN8379,North,N/A,1.3K,0-2-3-2 Aana,15 Feet / Blacktopped,N/A Aana,2 years ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
11,"House For Sale : House For Sale In Bafal, Kathmandu","Inside Narayani Petrol pump, Bafal, Kathmandu","NPR. 3,10,00,000",6,3,2.5,6,BN8378,South West,2075,910,0-4-0-0 Aana,16 Feet / Blacktopped,N/A Aana,2 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Maintenance', 'Parking']"
