Price(Float),Area(In Sq.Feet),Road,Face,Floor,Bedroom,Bathroom,Address,City
27000000,1711.25,2.0,North,5.0,13,3.5,Sunar gaun,Kathmandu
12000000,1647.07,3.0,West,1.0,1,1.0,"Tarkeshwor-04, Sesmati",Kathmandu
11000000,1369.0,3.0,East,2.0,10,3.0,Thankot,Kathmandu
15000000,1796.8125,4.0,West,2.0,2,2.0,Dadikot,Bhaktapur
3000000,3080.25,4.0,East,2.5,4,2.0,Tinthana,Kathmandu
40000000,2053.5,4.0,West,2.5,6,4.0,New Buspark,Kathmandu
30000000,1437.45,4.0,South,1.0,2,2.0,Kalopool,Kathmandu
25000000,1711.25,4.0,South West,3.0,5,4.0,Syuchatar,Kathmandu
15000000,1026.75,4.0,South,2.0,4,4.0,Imadol,Lalitpur
12000000,1796.8125,4.0,North East,1.5,4,1.0,Imadol,Lalitpur
7500000,855.625,4.0,North,1.0,3,1.0,Kadaghari,Kathmandu
14000000,1112.31,5.0,West,5.0,3,2.0,Banglamukhi,Lalitpur
30000000,1026.75,5.0,South,3.0,6,3.0,Basundhara,Kathmandu
38000000,342.25,5.0,East,6.0,4,4.0,Ason,Kathmandu
17300000,1026.75,5.0,South,2.5,1,1.0,Kadaghari,Kathmandu
15500000,752.95,5.0,South,1.0,4,2.0,Dhapasi,Kathmandu
21500000,1779.7,5.0,South East,2.5,5,2.0,Chabahil,Kathmandu
45000000,2053.5,5.0,South,3.5,7,4.0,Kumaripati,Lalitpur
19000000,1369.0,5.0,South,2.5,4,3.0,Bhaisepati,Lalitpur
30000000,1540.125,6.0,East,2.5,5,5.0,"Taukhel, Godawari",Kathmandu
41500000,1369.0,6.0,South,4.0,5,5.0,Koteshwor,Kathmandu
58000000,3162.39,6.0,North,3.5,5,5.0,Dhapasi,Kathmandu
21000000,1369.0,6.0,East,3.0,8,3.0,Satdobato,Lalitpur
14500000,1000.0,6.0,North west,3.5,5,3.0,Thankot,Kathmandu
28000000,1095.2,6.0,East,6.0,22,8.0,Old Baneshwor,Kathmandu
19499988,1200.0,6.0,West,2.5,3,3.0,Kalanki,Kathmandu
16000000,700.0,6.0,East,3.0,6,3.0,Doleswor,Bhaktapur
20000000,1369.0,6.0,East,2.5,6,2.0,Chabahil,Kathmandu
15000000,1411.78,6.0,East,2.0,4,2.0,Ganesh chowk,Kathmandu
40000000,1711.25,6.5,North,2.0,5,2.0,Tinthana,Kathmandu
20000000,1027.0,7.6,North,2.5,5,3.0,Banasthali,Kathmandu
52500000,2074.89,8.0,East,2.5,1,1.0,Tahachal,Kathmandu
22000000,7101.6875,8.0,South East,3.0,9,4.0,Ranibari,Kathmandu
55000000,2012.43,8.0,South,3.5,6,4.0,Thamel,Kathmandu
19000000,1026.75,8.0,East,3.0,6,3.0,Boudha,Kathmandu
18500000,1437.45,8.0,East,2.5,1,1.0,Ganesh mandir,Bhaktapur
13500000,855.625,8.0,North,3.0,5,4.0,Duwakot,Bhaktapur
15000000,855.625,8.0,South,3.0,4,2.0,Hattigauda,Kathmandu
35000000,2121.95,8.0,West,2.5,4,2.0,Chabahil,Kathmandu
27500000,1283.4375,8.0,North East,2.5,7,5.0,Dhunge Sangu,Lalitpur
15900000,1026.75,8.0,West,3.0,5,3.0,Joranku,Kathmandu
16000000,1200.0,8.0,North,2.0,3,2.0,Sitapaila,Kathmandu
13000000,941.1875,8.0,North East,3.0,5,2.0,Jorpati,Kathmandu
15500000,1176.48,8.0,East,2.0,1,1.0,Tahachal,Kathmandu
10000000,1026.75,8.0,East,1.0,2,1.0,Phutung,Kathmandu
8000000,1369.0,8.0,East,1.0,3,1.0,Bhaktapur,Bhaktapur
12500000,855.625,8.0,South,1.0,2,1.0,Townplanning,Kathmandu
80000000,3080.25,8.0,South,4.0,16,10.0,Gairigaun,Kathmandu
29500000,2053.5,8.0,East,3.0,6,3.0,Kapan,Kathmandu
36700000,1026.75,8.0,North East,4.0,4,4.0,Maitidevi,Kathmandu
25000000,1369.0,8.0,South East,3.5,4,2.0,Bouddha,Kathmandu
35000000,2121.95,8.0,North,3.5,5,3.0,Maijubahal,Kathmandu
16000000,1129.425,8.0,East,2.5,5,3.0,Srijana Chowk,Kathmandu
22000000,1369.0,8.0,East,3.0,3,3.0,Kapan,Kathmandu
17500000,941.1875,8.0,South,2.5,4,3.0,Kadaghari,Kathmandu
